xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.0851562;0.00709379;0.00709379;0.165273;0.165273;3.20924e-17;-5.55112e-17;0.00078125;6.8395e-17;3.42319e-17;5.92119e-17;8;1;0.0855468
0.0859375;0.00722349;0.00722349;0.166761;0.166761;3.20924e-17;-5.55112e-17;0.00078125;6.8395e-17;3.42319e-17;5.92119e-17;8;1;0.0863387
0.0867187;0.00735436;0.00735436;0.168249;0.168249;3.20924e-17;-5.55112e-17;0.00078125;6.8395e-17;3.42319e-17;5.92119e-17;8;1;0.0871309
0.0875;0.00748638;0.00748638;0.169737;0.169737;3.1225e-17;-5.55112e-17;0.00078125;6.79366e-17;3.33067e-17;5.92119e-17;8;1;0.0879232
0.0882812;0.00761957;0.00761957;0.171225;0.171225;3.1225e-17;-5.55112e-17;0.00078125;6.79366e-17;3.33067e-17;5.92119e-17;8;1;0.0887157
0.0890625;0.00775392;0.00775392;0.172713;0.172713;3.1225e-17;-5.55112e-17;0.00078125;6.79366e-17;3.33067e-17;5.92119e-17;8;1;0.0895084
0.0898437;0.00788943;0.00788943;0.1742;0.1742;3.1225e-17;-2.77556e-17;0.00078125;4.45629e-17;3.33067e-17;2.96059e-17;8;2;0.0903014
0.090625;0.00802611;0.00802611;0.175687;0.175687;2.94903e-17;-8.32667e-17;0.00078125;9.42237e-17;3.14563e-17;8.88178e-17;9;2;0.0910945
0.0914062;0.00816395;0.00816395;0.177174;0.177174;3.1225e-17;-5.55112e-17;0.00078125;6.79366e-17;3.33067e-17;5.92119e-17;9;2;0.0918878
0.0921875;0.00830294;0.00830294;0.178661;0.178661;3.1225e-17;-8.32667e-17;0.00078125;9.48575e-17;3.33067e-17;8.88178e-17;9;2;0.0926813
0.0929687;0.0084431;0.0084431;0.180148;0.180148;3.1225e-17;-5.55112e-17;0.00078125;6.79366e-17;3.33067e-17;5.92119e-17;9;2;0.093475
0.09375;0.00858443;0.00858443;0.181635;0.181635;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;9;2;0.094269
0.0945312;0.00872691;0.00872691;0.183122;0.183122;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;9;2;0.0950631
0.0953125;0.00887055;0.00887055;0.184608;0.184608;3.1225e-17;-5.55112e-17;0.00078125;6.79366e-17;3.33067e-17;5.92119e-17;9;2;0.0958574
0.0960937;0.00901536;0.00901536;0.186094;0.186094;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;9;2;0.096652
0.096875;0.00916133;0.00916133;0.187581;0.187581;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;9;2;0.0974468
0.0976562;0.00930845;0.00930845;0.189067;0.189067;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;9;2;0.0982418
0.0984375;0.00945674;0.00945674;0.190553;0.190553;2.94903e-17;-2.77556e-17;0.00078125;4.31974e-17;3.14563e-17;2.96059e-17;9;3;0.099037
0.0992187;0.00960619;0.00960619;0.192039;0.192039;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;10;3;0.0998324
0.1;0.0097568;0.0097568;0.193525;0.193525;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;10;3;0.100628
0.100781;0.00990858;0.00990858;0.195011;0.195011;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;10;3;0.101424
0.101562;0.0100615;0.0100615;0.196497;0.196497;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;10;3;0.10222
0.102344;0.0102156;0.0102156;0.197983;0.197983;2.77556e-17;-2.77556e-17;0.00078125;4.18691e-17;2.96059e-17;2.96059e-17;10;4;0.103016
0.103125;0.0103709;0.0103709;0.199469;0.199469;2.94903e-17;-5.55112e-17;0.00078125;6.70489e-17;3.14563e-17;5.92119e-17;11;4;0.103813
0.103906;0.0105273;0.0105273;0.200955;0.200955;2.77556e-17;-2.77556e-17;0.00078125;4.18691e-17;2.96059e-17;2.96059e-17;11;5;0.10461
0.104687;0.0106848;0.0106848;0.20244;0.20244;2.77556e-17;-5.55112e-17;0.00078125;6.62009e-17;2.96059e-17;5.92119e-17;12;5;0.105407
0.105469;0.0108436;0.0108436;0.203926;0.203926;2.94903e-17;-2.77556e-17;0.00078125;4.31974e-17;3.14563e-17;2.96059e-17;12;6;0.106204
0.10625;0.0110035;0.0110035;0.205412;0.205412;2.94903e-17;-2.77556e-17;0.00078125;4.31974e-17;3.14563e-17;2.96059e-17;13;6;0.107001
0.107031;0.0111645;0.0111645;0.206898;0.206898;2.60209e-17;-5.55112e-17;0.00078125;6.53943e-17;2.77556e-17;5.92119e-17;13;6;0.107799
0.107812;0.0113268;0.0113268;0.208384;0.208384;2.77556e-17;-2.77556e-17;0.00078125;4.18691e-17;2.96059e-17;2.96059e-17;13;7;0.108597
0.108594;0.0114901;0.0114901;0.209869;0.209869;2.60209e-17;-5.55112e-17;0.00078125;6.53943e-17;2.77556e-17;5.92119e-17;14;7;0.109395
0.109375;0.0116547;0.0116547;0.211355;0.211355;2.77556e-17;-5.55112e-17;0.00078125;6.62009e-17;2.96059e-17;5.92119e-17;14;7;0.110193
0.110156;0.0118204;0.0118204;0.212841;0.212841;2.77556e-17;-5.55112e-17;0.00078125;6.62009e-17;2.96059e-17;5.92119e-17;14;7;0.110992
0.110937;0.0119872;0.0119872;0.214327;0.214327;2.60209e-17;-5.55112e-17;0.00078125;6.53943e-17;2.77556e-17;5.92119e-17;14;7;0.111791
0.111719;0.0121553;0.0121553;0.215813;0.215813;2.60209e-17;-2.77556e-17;0.00078125;4.05818e-17;2.77556e-17;2.96059e-17;14;8;0.11259
0.1125;0.0123245;0.0123245;0.217299;0.217299;2.77556e-17;-5.55112e-17;0.00078125;6.62009e-17;2.96059e-17;5.92119e-17;15;8;0.113389
0.113281;0.0124948;0.0124948;0.218785;0.218785;2.60209e-17;-2.77556e-17;0.00078125;4.05818e-17;2.77556e-17;2.96059e-17;15;9;0.114189
0.114062;0.0126663;0.0126663;0.220272;0.220272;2.60209e-17;-5.55112e-17;0.00078125;6.53943e-17;2.77556e-17;5.92119e-17;16;9;0.114989
0.114844;0.012839;0.012839;0.221758;0.221758;2.42861e-17;-5.55112e-17;0.00078125;6.46307e-17;2.59052e-17;5.92119e-17;16;9;0.115789
0.115625;0.0130128;0.0130128;0.223244;0.223244;2.60209e-17;-5.55112e-17;0.00078125;6.53943e-17;2.77556e-17;5.92119e-17;16;9;0.116589
0.116406;0.0131878;0.0131878;0.224731;0.224731;2.60209e-17;-2.77556e-17;0.00078125;4.05818e-17;2.77556e-17;2.96059e-17;16;10;0.11739
0.117969;0.0135413;0.0135413;0.227704;0.227704;8.23994e-16;-1.249e-15;0.0015625;1.59607e-15;8.78927e-16;1.33227e-15;16;10;0.118992
0.119531;0.0138994;0.0138994;0.230678;0.230678;8.13585e-16;-1.249e-15;0.0015625;1.58999e-15;8.67824e-16;1.33227e-15;16;10;0.120595
0.121094;0.0142621;0.0142621;0.233652;0.233652;8.04912e-16;-1.19349e-15;0.0015625;1.53552e-15;8.58572e-16;1.27306e-15;16;10;0.122199
0.122656;0.0146295;0.0146295;0.236627;0.236627;7.94503e-16;-1.16573e-15;0.0015625;1.50478e-15;8.4747e-16;1.24345e-15;16;10;0.123804
0.124219;0.0150016;0.0150016;0.239602;0.239602;7.8236e-16;-1.16573e-15;0.0015625;1.49753e-15;8.34518e-16;1.24345e-15;16;10;0.12541
0.125781;0.0153783;0.0153783;0.242578;0.242578;7.73687e-16;-1.11022e-15;0.0015625;1.44343e-15;8.25266e-16;1.18424e-15;16;10;0.127017
0.127344;0.0157596;0.0157596;0.245555;0.245555;7.63278e-16;-1.08247e-15;0.0015625;1.41281e-15;8.14164e-16;1.15463e-15;16;10;0.128626
0.128906;0.0161457;0.0161457;0.248533;0.248533;7.5287e-16;-1.05471e-15;0.0015625;1.38224e-15;8.03061e-16;1.12503e-15;16;10;0.130235
0.130469;0.0165363;0.0165363;0.251512;0.251512;7.38992e-16;-1.05471e-15;0.0015625;1.37369e-15;7.88258e-16;1.12503e-15;16;10;0.131846
0.132031;0.0169316;0.0169316;0.254492;0.254492;7.32053e-16;-9.99201e-16;0.0015625;1.32125e-15;7.80857e-16;1.06581e-15;16;10;0.133458
0.133594;0.0173316;0.0173316;0.257472;0.257472;7.21645e-16;-9.99201e-16;0.0015625;1.31472e-15;7.69755e-16;1.06581e-15;16;10;0.13507
